,Player,Sh,SoT,G/Sh,G/SoT,Cmp,Att_x,Cmp%,Tkl,Tkl,TklW_x,Blocks,Int_x,Tkl+Int,Clr,Err,Touches,Succ,Att_y,Succ%,Fls,Fld,Off,Crs,Int_y,TklW_y,PKwon,PKcon,OG,Won,Lost,Pos,Age,Club,MP,Starts,Min,90s,Gls,Gls,Ast,Ast,G-PK,G-PK,PK,CrdY,CrdR,Team
16,Gonzalo Montiel,1,0,0.0,,69.0,81.0,85.2,3.0,2.0,2,1.0,1,4.0,1.0,0.0,95.0,0.0,1.0,0.0,4,2,1,3,1,2,0.0,1.0,0,1.0,2.0,"DF,MF",25.0,1.es Sevilla,4,1,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Argentina
17,Guido Rodríguez,0,0,,,54.0,64.0,84.4,2.0,2.0,0,1.0,0,2.0,1.0,0.0,69.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,MF,28.0,1.es Betis,1,1,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
18,Germán Pezzella,1,0,0.0,,42.0,45.0,93.3,0.0,0.0,0,0.0,0,0.0,0.0,0.0,47.0,0.0,0.0,,2,2,0,0,0,0,0.0,0.0,0,0.0,6.0,DF,30.0,1.es Betis,3,0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Argentina
19,Exequiel Palacios,1,0,0.0,,25.0,28.0,89.3,0.0,0.0,0,0.0,2,2.0,1.0,0.0,34.0,0.0,1.0,0.0,2,3,0,0,2,0,0.0,0.0,0,0.0,1.0,"MF,DF",23.0,1.de Leverkusen,3,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
20,Paulo Dybala,0,0,,,8.0,12.0,66.7,3.0,0.0,1,0.0,0,3.0,1.0,0.0,20.0,1.0,2.0,50.0,1,0,0,0,0,1,0.0,0.0,0,3.0,1.0,FW,28.0,1.it Roma,2,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
21,Thiago Almada,0,0,,,13.0,13.0,100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,MF,21.0,1.us Atlanta Utd,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
22,Ángel Correa,0,0,,,3.0,3.0,100.0,1.0,0.0,1,0.0,0,1.0,1.0,0.0,6.0,0.0,0.0,,0,1,0,0,0,1,0.0,0.0,0,0.0,0.0,MF,27.0,1.es Atlético Madrid,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
23,Juan Foyth,0,0,,,3.0,4.0,75.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,5.0,1.0,1.0,100.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,DF,24.0,1.es Villarreal,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
0,Sofyan Amrabat,1,0,0.0,,269.0,322.0,83.5,16.0,9.0,10,2.0,6,22.0,10.0,0.0,383.0,0.0,5.0,0.0,14,6,1,2,6,10,0.0,0.0,0,2.0,3.0,MF,25.0,1.it Fiorentina,7,7,660.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Morocco
1,Hakim Ziyech,10,2,0.1,0.5,211.0,306.0,69.0,10.0,4.0,7,10.0,10,20.0,4.0,1.0,386.0,12.0,29.0,41.4,12,7,2,30,10,7,0.0,0.0,0,3.0,6.0,FW,29.0,1.eng Chelsea,7,7,635.0,7.1,1.0,0.14,1.0,0.14,1.0,0.14,0.0,0.0,0.0,Morocco
2,Achraf Hakimi,4,1,0.0,0.0,312.0,382.0,81.7,26.0,17.0,17,7.0,9,35.0,12.0,0.0,478.0,2.0,15.0,13.3,6,13,0,12,9,17,0.0,0.0,0,5.0,8.0,DF,23.0,1.fr Paris S-G,7,7,631.0,7.0,0.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,0.0,Morocco
3,Youssef En-Nesyri,9,3,0.22,0.67,50.0,81.0,61.7,3.0,0.0,2,5.0,1,4.0,11.0,0.0,127.0,5.0,8.0,62.5,2,4,4,0,1,2,0.0,0.0,0,21.0,14.0,FW,25.0,1.es Sevilla,7,7,542.0,6.0,2.0,0.33,0.0,0.0,2.0,0.33,0.0,0.0,0.0,Morocco
4,Sofiane Boufal,7,1,0.0,0.0,99.0,133.0,74.4,11.0,3.0,5,9.0,2,13.0,1.0,0.0,199.0,14.0,27.0,51.9,11,14,2,7,2,5,0.0,0.0,0,3.0,7.0,FW,28.0,1.fr Angers,7,7,475.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Morocco
5,Yassine Bounou,0,0,,,154.0,209.0,73.7,0.0,0.0,0,0.0,0,0.0,5.0,0.0,219.0,0.0,0.0,,0,1,0,0,0,0,0.0,0.0,0,1.0,0.0,GK,31.0,1.es Sevilla,6,6,570.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
6,Azzedine Ounahi,6,1,0.0,0.0,216.0,265.0,81.5,9.0,7.0,8,5.0,7,16.0,2.0,0.0,328.0,10.0,13.0,76.9,3,13,1,3,7,8,0.0,0.0,0,1.0,3.0,MF,22.0,1.fr Angers,7,6,568.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Morocco
7,Romain Saïss,1,1,1.0,1.0,159.0,199.0,79.9,5.0,2.0,2,3.0,3,8.0,30.0,1.0,248.0,1.0,2.0,50.0,4,0,2,1,3,2,0.0,0.0,0,7.0,0.0,DF,32.0,1.tr Beşiktaş,6,6,466.0,5.2,1.0,0.19,0.0,0.0,1.0,0.19,0.0,1.0,0.0,Morocco
8,Noussair Mazraoui,4,2,0.0,0.0,98.0,121.0,81.0,14.0,8.0,9,6.0,1,15.0,16.0,0.0,175.0,1.0,5.0,20.0,3,1,1,2,1,9,0.0,0.0,0,1.0,3.0,DF,24.0,1.de Bayern Munich,5,5,365.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
9,Selim Amallah,2,0,0.0,,65.0,87.0,74.7,13.0,6.0,9,6.0,8,21.0,3.0,0.0,145.0,1.0,7.0,14.3,11,8,0,2,8,9,0.0,0.0,0,2.0,9.0,MF,25.0,1.be Standard Liège,7,4,409.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Morocco
10,Nayef Aguerd,1,0,0.0,,137.0,158.0,86.7,4.0,2.0,2,3.0,4,8.0,12.0,0.0,185.0,0.0,0.0,,2,0,1,0,4,2,0.0,0.0,1,5.0,2.0,DF,26.0,1.eng West Ham,4,4,353.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
11,Jawad El Yamiq,2,1,0.0,0.0,146.0,164.0,89.0,4.0,3.0,2,6.0,5,9.0,17.0,0.0,202.0,0.0,0.0,,1,4,0,0,5,2,0.0,0.0,0,6.0,1.0,DF,30.0,1.es Valladolid,6,3,309.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
12,Yahya Attiat Allah,2,0,0.0,,98.0,137.0,71.5,4.0,3.0,2,4.0,0,4.0,15.0,0.0,167.0,0.0,2.0,0.0,8,3,0,8,0,2,0.0,0.0,0,0.0,7.0,DF,27.0,1.ma Wydad Casablanca,6,2,318.0,3.5,0.0,0.0,1.0,0.28,0.0,0.0,0.0,0.0,0.0,Morocco
13,Achraf Dari,1,1,1.0,1.0,99.0,111.0,89.2,1.0,1.0,0,7.0,5,6.0,9.0,0.0,139.0,0.0,0.0,,2,1,0,0,5,0,0.0,0.0,0,5.0,5.0,DF,23.0,1.fr Brest,3,2,187.0,2.1,1.0,0.48,0.0,0.0,1.0,0.48,0.0,1.0,0.0,Morocco
14,Abdelhamid Sabiri,3,0,0.0,,45.0,58.0,77.6,3.0,2.0,1,3.0,5,8.0,3.0,0.0,86.0,0.0,3.0,0.0,2,3,0,1,5,1,0.0,0.0,0,2.0,2.0,MF,25.0,1.it Sampdoria,5,2,181.0,2.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,Morocco
15,Munir,0,0,,,19.0,28.0,67.9,0.0,0.0,0,0.0,0,0.0,0.0,0.0,31.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,GK,33.0,1.sa Al-Wehda,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
16,Bilal El Khannous,0,0,,,20.0,24.0,83.3,0.0,0.0,0,1.0,0,0.0,2.0,0.0,29.0,0.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,1.0,MF,18.0,1.be Genk,1,1,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
17,Abdessamad Ezzalzouli,1,0,0.0,,10.0,13.0,76.9,3.0,1.0,2,4.0,0,3.0,3.0,0.0,40.0,1.0,2.0,50.0,4,0,0,1,0,2,0.0,0.0,0,1.0,2.0,"FW,MF",20.0,1.es Osasuna,3,0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
18,Zakaria Aboukhlal,3,2,0.33,0.5,7.0,14.0,50.0,1.0,0.0,1,2.0,1,2.0,1.0,0.0,26.0,0.0,1.0,0.0,1,0,2,1,1,1,0.0,0.0,0,2.0,0.0,"FW,MF",22.0,1.fr Toulouse,4,0,79.0,0.9,1.0,1.14,0.0,0.0,1.0,1.14,0.0,0.0,0.0,Morocco
19,Abderrazak Hamdallah,2,1,0.0,0.0,8.0,15.0,53.3,0.0,0.0,0,0.0,0,0.0,2.0,0.0,28.0,2.0,3.0,66.7,3,2,0,0,0,0,0.0,0.0,0,1.0,7.0,FW,31.0,1.sa Al-Ittihad,4,0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
