,Player,Sh,SoT,G/Sh,G/SoT,Cmp,Att_x,Cmp%,Tkl,Tkl,TklW_x,Blocks,Int_x,Tkl+Int,Clr,Err,Touches,Succ,Att_y,Succ%,Fls,Fld,Off,Crs,Int_y,TklW_y,PKwon,PKcon,OG,Won,Lost,Pos,Age,Club,MP,Starts,Min,90s,Gls,Gls,Ast,Ast,G-PK,G-PK,PK,CrdY,CrdR,Team
20,Walid Cheddira,2,1,0.0,0.0,4.0,8.0,50.0,1.0,0.0,0,0.0,0,1.0,2.0,0.0,18.0,0.0,1.0,0.0,5,0,2,0,0,0,0.0,0.0,0,2.0,2.0,FW,24.0,2.it Bari,2,0,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,Morocco
21,Badr Banoun,0,0,,,21.0,22.0,95.5,0.0,0.0,0,1.0,1,1.0,3.0,0.0,28.0,0.0,0.0,,2,0,0,0,1,0,0.0,0.0,0,0.0,1.0,DF,28.0,1.qa Qatar SC,3,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
22,Ilias Chair,0,0,,,13.0,15.0,86.7,1.0,0.0,0,0.0,0,1.0,0.0,0.0,18.0,0.0,1.0,0.0,0,0,0,2,0,0,0.0,0.0,0,0.0,0.0,MF,24.0,2.eng QPR,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
23,Anass Zaroury,0,0,,,8.0,13.0,61.5,0.0,0.0,0,2.0,0,0.0,0.0,0.0,15.0,1.0,1.0,100.0,0,0,1,3,0,0,0.0,0.0,0,0.0,0.0,FW,21.0,2.eng Burnley,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
24,Yahya Jabrane,0,0,,,,,,,,0,,0,,,,,,,,0,0,0,0,0,0,,,0,,,MF,30.0,1.ma Wydad Casablanca,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
0,Joško Gvardiol,2,1,0.5,1.0,464.0,519.0,89.4,9.0,5.0,6,8.0,11,20.0,37.0,0.0,601.0,1.0,2.0,50.0,8,6,0,1,11,6,0.0,0.0,0,3.0,5.0,DF,20.0,1.de RB Leipzig,7,7,690.0,7.7,1.0,0.13,0.0,0.0,1.0,0.13,0.0,0.0,0.0,Croatia
1,Dominik Livaković,0,0,,,194.0,228.0,85.1,0.0,0.0,0,0.0,0,0.0,0.0,0.0,245.0,0.0,0.0,,1,0,0,0,0,0,0.0,1.0,0,1.0,0.0,GK,27.0,1.hr Dinamo Zagreb,7,7,690.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Croatia
2,Ivan Perišić,16,4,0.06,0.25,202.0,292.0,69.2,7.0,5.0,4,9.0,7,14.0,12.0,0.0,378.0,6.0,13.0,46.2,10,0,3,27,7,4,0.0,0.0,0,17.0,14.0,"FW,DF",33.0,1.eng Tottenham,7,7,669.0,7.4,1.0,0.13,3.0,0.4,1.0,0.13,0.0,0.0,0.0,Croatia
3,Luka Modrić,6,4,0.0,0.0,465.0,551.0,84.4,16.0,7.0,10,4.0,10,26.0,3.0,0.0,615.0,6.0,16.0,37.5,13,15,1,33,10,10,0.0,0.0,0,3.0,4.0,MF,36.0,1.es Real Madrid,7,7,653.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Croatia
4,Mateo Kovačić,3,1,0.0,0.0,415.0,460.0,90.2,24.0,4.0,17,4.0,4,28.0,5.0,0.0,521.0,11.0,20.0,55.0,3,11,0,3,4,17,0.0,0.0,0,4.0,2.0,MF,28.0,1.eng Chelsea,7,7,635.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Croatia
5,Andrej Kramarić,10,4,0.2,0.5,153.0,176.0,86.9,3.0,0.0,2,6.0,0,3.0,0.0,0.0,215.0,4.0,8.0,50.0,1,4,2,6,0,2,0.0,0.0,0,0.0,4.0,"FW,MF",30.0,1.de Hoffenheim,7,7,474.0,5.3,2.0,0.38,0.0,0.0,2.0,0.38,0.0,0.0,0.0,Croatia
6,Josip Juranović,1,0,0.0,,318.0,405.0,78.5,12.0,8.0,8,5.0,3,15.0,15.0,0.0,450.0,1.0,4.0,25.0,1,6,0,24,3,8,0.0,0.0,0,2.0,4.0,DF,26.0,1.sct Celtic,6,6,600.0,6.7,0.0,0.0,1.0,0.15,0.0,0.0,0.0,0.0,0.0,Croatia
7,Dejan Lovren,4,0,0.0,,405.0,460.0,88.0,7.0,3.0,2,7.0,6,13.0,29.0,0.0,515.0,0.0,0.0,,2,5,1,3,6,2,0.0,0.0,0,17.0,6.0,DF,32.0,1.ru Zenit,6,6,600.0,6.7,0.0,0.0,1.0,0.15,0.0,0.0,0.0,1.0,0.0,Croatia
8,Marcelo Brozović,4,2,0.0,0.0,466.0,530.0,87.9,13.0,3.0,7,13.0,4,17.0,7.0,0.0,594.0,3.0,8.0,37.5,12,11,0,4,4,7,0.0,0.0,0,6.0,4.0,MF,29.0,1.it Inter,6,6,552.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Croatia
9,Borna Sosa,2,0,0.0,,220.0,278.0,79.1,14.0,10.0,6,4.0,2,16.0,18.0,0.0,333.0,2.0,4.0,50.0,4,2,0,21,2,6,0.0,0.0,0,4.0,4.0,DF,24.0,1.de Stuttgart,5,5,424.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
10,Marko Livaja,6,4,0.17,0.25,35.0,58.0,60.3,2.0,1.0,2,1.0,1,3.0,1.0,0.0,83.0,0.0,2.0,0.0,6,3,1,1,1,2,0.0,0.0,0,4.0,5.0,FW,28.0,1.hr Hajduk Split,6,3,241.0,2.7,1.0,0.37,1.0,0.37,1.0,0.37,0.0,0.0,0.0,Croatia
11,Mario Pašalić,3,0,0.0,,76.0,95.0,80.0,7.0,3.0,5,6.0,3,10.0,3.0,0.0,132.0,0.0,4.0,0.0,4,1,2,1,3,5,0.0,0.0,0,7.0,7.0,"FW,MF",27.0,1.it Atalanta,7,2,271.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
12,Bruno Petković,1,1,1.0,1.0,40.0,75.0,53.3,6.0,0.0,4,3.0,0,6.0,0.0,0.0,101.0,2.0,4.0,50.0,3,11,0,1,0,4,0.0,0.0,0,8.0,13.0,FW,27.0,1.hr Dinamo Zagreb,6,1,234.0,2.6,1.0,0.38,0.0,0.0,1.0,0.38,0.0,1.0,0.0,Croatia
13,Nikola Vlašić,5,1,0.0,0.0,45.0,55.0,81.8,1.0,0.0,1,2.0,1,2.0,0.0,0.0,80.0,3.0,9.0,33.3,4,6,0,4,1,1,0.0,0.0,0,2.0,6.0,"FW,MF",24.0,1.it Torino,6,1,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
14,Mislav Oršić,9,2,0.11,0.5,40.0,54.0,74.1,3.0,2.0,3,2.0,0,3.0,1.0,0.0,81.0,1.0,3.0,33.3,3,0,1,4,0,3,0.0,0.0,0,0.0,0.0,FW,29.0,1.hr Dinamo Zagreb,6,1,162.0,1.8,1.0,0.56,2.0,1.11,1.0,0.56,0.0,0.0,0.0,Croatia
15,Lovro Majer,4,2,0.25,0.5,78.0,98.0,79.6,3.0,2.0,1,1.0,0,3.0,2.0,0.0,122.0,0.0,2.0,0.0,5,3,0,8,0,1,0.0,0.0,0,0.0,0.0,"MF,FW",24.0,1.fr Rennes,7,1,130.0,1.4,1.0,0.69,0.0,0.0,1.0,0.69,0.0,0.0,0.0,Croatia
16,Borna Barišić,1,0,0.0,,50.0,69.0,72.5,1.0,1.0,1,1.0,0,1.0,4.0,0.0,81.0,0.0,0.0,,5,2,0,11,0,1,0.0,0.0,0,6.0,2.0,DF,29.0,1.sct Rangers,1,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Croatia
17,Josip Stanišić,1,0,0.0,,36.0,49.0,73.5,3.0,2.0,3,0.0,1,4.0,0.0,0.0,56.0,0.0,0.0,,1,2,0,1,1,3,0.0,0.0,0,1.0,0.0,DF,22.0,1.de Bayern Munich,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
18,Josip Šutalo,0,0,,,62.0,66.0,93.9,0.0,0.0,0,1.0,0,0.0,5.0,0.0,73.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,3.0,DF,22.0,1.hr Dinamo Zagreb,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
19,Ante Budimir,1,0,0.0,,2.0,5.0,40.0,1.0,0.0,1,0.0,0,1.0,1.0,0.0,12.0,0.0,0.0,,4,2,0,0,0,1,0.0,0.0,0,2.0,4.0,FW,30.0,1.es Osasuna,2,0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
20,Kristijan Jakić,0,0,,,0.0,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,FW,25.0,1.de Eint Frankfurt,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
0,Andries Noppert,0,0,,,157.0,192.0,81.8,0.0,0.0,0,0.0,0,0.0,4.0,0.0,205.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,28.0,1.nl Heerenveen,5,5,480.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
1,Virgil van Dijk,3,0,0.0,,311.0,356.0,87.4,2.0,1.0,1,8.0,4,6.0,21.0,0.0,399.0,0.0,0.0,,5,2,0,0,4,1,0.0,0.0,0,13.0,8.0,DF,30.0,1.eng Liverpool,5,5,480.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
2,Nathan Aké,0,0,,,315.0,349.0,90.3,6.0,3.0,3,3.0,8,14.0,20.0,0.0,393.0,0.0,2.0,0.0,4,6,0,0,8,3,0.0,0.0,0,10.0,12.0,DF,27.0,1.eng Manchester City,5,5,479.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Netherlands
3,Denzel Dumfries,1,1,1.0,1.0,149.0,217.0,68.7,8.0,5.0,5,5.0,7,15.0,6.0,0.0,274.0,0.0,8.0,0.0,17,7,2,8,7,5,0.0,1.0,0,9.0,10.0,DF,26.0,1.it Inter,5,5,479.0,5.3,1.0,0.19,2.0,0.38,1.0,0.19,0.0,2.0,1.0,Netherlands
4,Frenkie de Jong,2,1,0.5,1.0,323.0,364.0,88.7,12.0,1.0,5,6.0,6,18.0,3.0,0.0,408.0,3.0,6.0,50.0,4,6,0,3,6,5,0.0,0.0,0,8.0,1.0,MF,25.0,1.es Barcelona,5,5,475.0,5.3,1.0,0.19,1.0,0.19,1.0,0.19,0.0,1.0,0.0,Netherlands
5,Cody Gakpo,5,3,0.6,1.0,93.0,148.0,62.8,8.0,3.0,2,10.0,3,11.0,6.0,0.0,205.0,5.0,13.0,38.5,8,5,3,33,3,2,0.0,0.0,0,5.0,5.0,"FW,MF",23.0,1.nl PSV Eindhoven,5,5,450.0,5.0,3.0,0.6,0.0,0.0,3.0,0.6,0.0,0.0,0.0,Netherlands
6,Daley Blind,5,2,0.2,0.5,252.0,300.0,84.0,14.0,6.0,9,6.0,5,19.0,4.0,0.0,339.0,1.0,2.0,50.0,3,1,0,6,5,9,0.0,0.0,0,5.0,7.0,DF,32.0,1.nl Ajax,5,5,423.0,4.7,1.0,0.21,1.0,0.21,1.0,0.21,0.0,0.0,0.0,Netherlands
7,Jurriën Timber,0,0,,,283.0,313.0,90.4,12.0,6.0,6,1.0,10,22.0,13.0,0.0,361.0,4.0,6.0,66.7,17,4,0,1,10,6,0.0,0.0,0,4.0,3.0,DF,20.0,1.nl Ajax,4,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Netherlands
8,Memphis,10,5,0.1,0.2,93.0,123.0,75.6,1.0,1.0,1,4.0,1,2.0,0.0,1.0,165.0,2.0,11.0,18.2,1,5,1,2,1,1,0.0,0.0,0,2.0,6.0,FW,28.0,1.es Barcelona,5,3,297.0,3.3,1.0,0.3,0.0,0.0,1.0,0.3,0.0,1.0,0.0,Netherlands
9,Steven Bergwijn,2,0,0.0,,64.0,72.0,88.9,1.0,0.0,1,2.0,0,1.0,0.0,0.0,85.0,1.0,4.0,25.0,2,4,0,0,0,1,0.0,0.0,0,0.0,0.0,FW,24.0,1.nl Ajax,4,3,213.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Netherlands
10,Davy Klaassen,2,1,0.5,1.0,59.0,77.0,76.6,3.0,1.0,2,2.0,1,4.0,2.0,0.0,96.0,0.0,1.0,0.0,1,3,0,2,1,2,0.0,0.0,0,2.0,2.0,"MF,FW",29.0,1.nl Ajax,4,3,190.0,2.1,1.0,0.47,2.0,0.95,1.0,0.47,0.0,0.0,0.0,Netherlands
11,Marten de Roon,0,0,,,97.0,119.0,81.5,7.0,1.0,5,4.0,2,9.0,6.0,0.0,142.0,0.0,0.0,,3,0,0,0,2,5,0.0,0.0,0,4.0,3.0,MF,31.0,1.it Atalanta,5,3,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
12,Teun Koopmeiners,2,1,0.0,0.0,90.0,119.0,75.6,10.0,5.0,5,2.0,4,14.0,4.0,0.0,149.0,1.0,2.0,50.0,6,1,0,2,4,5,0.0,0.0,0,4.0,3.0,MF,24.0,1.it Atalanta,5,1,219.0,2.4,0.0,0.0,1.0,0.41,0.0,0.0,0.0,1.0,0.0,Netherlands
13,Steven Berghuis,5,0,0.0,,97.0,131.0,74.0,2.0,1.0,1,1.0,0,2.0,0.0,0.0,141.0,1.0,4.0,25.0,4,0,0,13,0,1,0.0,0.0,0,1.0,2.0,MF,30.0,1.nl Ajax,4,1,200.0,2.2,0.0,0.0,1.0,0.45,0.0,0.0,0.0,1.0,0.0,Netherlands
14,Matthijs de Ligt,0,0,,,41.0,45.0,91.1,0.0,0.0,0,0.0,0,0.0,4.0,0.0,49.0,0.0,0.0,,4,1,0,0,0,0,0.0,0.0,0,5.0,2.0,DF,22.0,1.de Bayern Munich,2,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Netherlands
15,Vincent Janssen,2,0,0.0,,16.0,20.0,80.0,2.0,0.0,0,2.0,0,2.0,1.0,0.0,32.0,1.0,1.0,100.0,2,2,0,0,0,0,0.0,0.0,0,1.0,1.0,FW,27.0,1.be Antwerp,2,1,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
16,Wout Weghorst,2,2,1.0,1.0,9.0,15.0,60.0,0.0,0.0,0,1.0,0,0.0,1.0,0.0,22.0,0.0,0.0,,5,1,1,0,0,0,0.0,0.0,0,2.0,2.0,FW,29.0,1.tr Beşiktaş,4,0,64.0,0.7,2.0,2.81,0.0,0.0,2.0,2.81,0.0,1.0,0.0,Netherlands
17,Luuk de Jong,1,0,0.0,,8.0,12.0,66.7,2.0,0.0,1,0.0,0,2.0,1.0,0.0,19.0,0.0,1.0,0.0,1,1,1,0,0,1,0.0,0.0,0,3.0,3.0,FW,31.0,1.nl PSV Eindhoven,1,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
18,Xavi Simons,0,0,,,6.0,10.0,60.0,1.0,0.0,0,0.0,0,1.0,0.0,0.0,11.0,0.0,0.0,,0,1,0,0,0,0,0.0,0.0,0,1.0,0.0,"FW,MF",19.0,1.nl PSV Eindhoven,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
19,Noa Lang,0,0,,,1.0,3.0,33.3,0.0,0.0,0,1.0,1,1.0,1.0,0.0,5.0,0.0,0.0,,0,0,0,1,1,0,0.0,0.0,0,0.0,0.0,MF,22.0,1.be Club Brugge,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Netherlands
20,Kenneth Taylor,0,0,,,8.0,8.0,100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,9.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,MF,20.0,1.nl Ajax,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
0,Jordan Pickford,0,0,,,126.0,160.0,78.8,0.0,0.0,0,0.0,0,0.0,2.0,0.0,169.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,28.0,1.eng Everton,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England
1,John Stones,4,1,0.0,0.0,435.0,454.0,95.8,2.0,2.0,2,3.0,1,3.0,8.0,0.0,475.0,2.0,2.0,100.0,4,3,0,0,1,2,0.0,1.0,0,6.0,4.0,DF,28.0,1.eng Manchester City,5,5,434.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England
2,Harry Maguire,6,1,0.0,0.0,354.0,407.0,87.0,7.0,1.0,3,4.0,4,11.0,18.0,0.0,445.0,2.0,2.0,100.0,6,2,1,1,4,3,0.0,0.0,0,15.0,5.0,DF,29.0,1.eng Manchester Utd,5,5,429.0,4.8,0.0,0.0,1.0,0.21,0.0,0.0,0.0,1.0,0.0,England
3,Luke Shaw,3,1,0.0,0.0,335.0,400.0,83.8,3.0,1.0,1,2.0,4,7.0,5.0,0.0,419.0,2.0,2.0,100.0,5,4,0,22,4,1,0.0,0.0,0,3.0,9.0,DF,26.0,1.eng Manchester Utd,5,5,424.0,4.7,0.0,0.0,1.0,0.21,0.0,0.0,0.0,0.0,0.0,England
4,Declan Rice,0,0,,,300.0,322.0,93.2,6.0,0.0,5,4.0,11,17.0,5.0,0.0,362.0,0.0,3.0,0.0,3,2,0,4,11,5,0.0,0.0,0,3.0,3.0,MF,23.0,1.eng West Ham,5,5,417.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England
5,Jude Bellingham,5,3,0.2,0.33,235.0,265.0,88.7,16.0,5.0,15,10.0,5,21.0,0.0,0.0,324.0,6.0,13.0,46.2,5,5,0,4,5,15,0.0,0.0,0,6.0,9.0,MF,18.0,1.de Dortmund,5,5,414.0,4.6,1.0,0.22,1.0,0.22,1.0,0.22,0.0,0.0,0.0,England
6,Harry Kane,10,5,0.1,0.2,62.0,98.0,63.3,2.0,1.0,1,2.0,0,2.0,5.0,0.0,138.0,4.0,8.0,50.0,1,9,0,6,0,1,0.0,0.0,0,9.0,13.0,FW,28.0,1.eng Tottenham,5,5,402.0,4.5,2.0,0.45,3.0,0.67,1.0,0.22,1.0,0.0,0.0,England
7,Bukayo Saka,7,5,0.43,0.6,84.0,108.0,77.8,7.0,1.0,4,5.0,2,9.0,2.0,0.0,147.0,2.0,11.0,18.2,7,6,2,5,2,4,1.0,0.0,0,1.0,1.0,FW,20.0,1.eng Arsenal,4,4,288.0,3.2,3.0,0.94,0.0,0.0,3.0,0.94,0.0,0.0,0.0,England
8,Jordan Henderson,2,1,0.5,1.0,137.0,163.0,84.0,4.0,2.0,2,3.0,1,5.0,0.0,0.0,179.0,0.0,2.0,0.0,5,4,0,8,1,2,0.0,0.0,0,2.0,2.0,MF,31.0,1.eng Liverpool,4,3,271.0,3.0,1.0,0.33,0.0,0.0,1.0,0.33,0.0,0.0,0.0,England
9,Phil Foden,6,1,0.17,1.0,90.0,117.0,76.9,1.0,0.0,1,2.0,1,2.0,0.0,0.0,143.0,3.0,6.0,50.0,2,4,0,14,1,1,0.0,0.0,0,3.0,5.0,"FW,MF",22.0,1.eng Manchester City,4,3,258.0,2.9,1.0,0.35,2.0,0.7,1.0,0.35,0.0,0.0,0.0,England
10,Kyle Walker,0,0,,,162.0,181.0,89.5,3.0,3.0,1,2.0,3,6.0,3.0,0.0,198.0,2.0,3.0,66.7,3,3,0,2,3,1,0.0,0.0,0,4.0,2.0,DF,32.0,1.eng Manchester City,3,3,236.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England
11,Kieran Trippier,1,0,0.0,,165.0,195.0,84.6,6.0,5.0,4,3.0,1,7.0,4.0,0.0,205.0,1.0,1.0,100.0,1,0,0,10,1,4,0.0,0.0,0,4.0,1.0,DF,31.0,1.eng Newcastle Utd,3,2,206.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England
12,Mason Mount,4,1,0.0,0.0,61.0,73.0,83.6,2.0,0.0,2,2.0,0,2.0,0.0,0.0,91.0,2.0,3.0,66.7,7,9,0,3,0,2,1.0,0.0,0,0.0,3.0,MF,23.0,1.eng Chelsea,4,2,186.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England
13,Raheem Sterling,1,1,1.0,1.0,45.0,55.0,81.8,1.0,0.0,1,1.0,1,2.0,0.0,0.0,68.0,2.0,3.0,66.7,0,2,1,2,1,1,0.0,0.0,0,1.0,1.0,FW,27.0,1.eng Chelsea,3,2,149.0,1.7,1.0,0.6,1.0,0.6,1.0,0.6,0.0,0.0,0.0,England
14,Marcus Rashford,11,6,0.27,0.5,49.0,66.0,74.2,1.0,1.0,0,2.0,1,2.0,1.0,0.0,92.0,5.0,9.0,55.6,1,0,1,1,1,0,0.0,0.0,0,1.0,3.0,FW,24.0,1.eng Manchester Utd,5,1,140.0,1.6,3.0,1.93,0.0,0.0,3.0,1.93,0.0,0.0,0.0,England
15,Jack Grealish,1,1,1.0,1.0,48.0,54.0,88.9,3.0,0.0,1,2.0,3,6.0,1.0,0.0,71.0,3.0,9.0,33.3,0,10,0,0,3,1,0.0,0.0,0,0.0,2.0,FW,26.0,1.eng Manchester City,5,0,86.0,1.0,1.0,1.05,0.0,0.0,1.0,1.05,0.0,0.0,0.0,England
16,Callum Wilson,0,0,,,9.0,10.0,90.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0,2,0,0,0,0,0.0,0.0,0,1.0,0.0,FW,30.0,1.eng Newcastle Utd,2,0,48.0,0.5,0.0,0.0,1.0,1.87,0.0,0.0,0.0,0.0,0.0,England
17,Kalvin Phillips,0,0,,,17.0,19.0,89.5,0.0,0.0,0,0.0,0,0.0,1.0,0.0,20.0,0.0,0.0,,1,0,0,0,0,0,0.0,0.0,0,0.0,2.0,MF,26.0,1.eng Manchester City,2,0,42.0,0.5,0.0,0.0,1.0,2.14,0.0,0.0,0.0,0.0,0.0,England
18,Eric Dier,0,0,,,40.0,41.0,97.6,1.0,0.0,1,0.0,0,1.0,0.0,0.0,44.0,0.0,0.0,,1,0,0,0,0,1,0.0,0.0,0,1.0,1.0,DF,28.0,1.eng Tottenham,2,0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England
19,Trent Alexander-Arnold,0,0,,,21.0,23.0,91.3,0.0,0.0,0,1.0,0,0.0,0.0,0.0,24.0,0.0,0.0,,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,DF,23.0,1.eng Liverpool,1,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England
0,Marquinhos,2,0,0.0,,352.0,368.0,95.7,5.0,4.0,4,6.0,2,7.0,6.0,0.0,392.0,1.0,1.0,100.0,1,2,0,1,2,4,0.0,0.0,0,4.0,4.0,DF,28.0,1.fr Paris S-G,5,4,426.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Brazil
1,Casemiro,9,3,0.11,0.33,208.0,251.0,82.9,11.0,4.0,4,13.0,7,18.0,5.0,0.0,302.0,1.0,3.0,33.3,7,3,0,2,7,4,0.0,0.0,0,3.0,3.0,MF,30.0,1.eng Manchester Utd,4,4,390.0,4.3,1.0,0.23,0.0,0.0,1.0,0.23,0.0,1.0,0.0,Brazil
2,Thiago Silva,2,0,0.0,,322.0,344.0,93.6,3.0,0.0,1,3.0,5,8.0,6.0,0.0,368.0,0.0,1.0,0.0,2,3,0,1,5,1,0.0,0.0,0,6.0,4.0,DF,37.0,1.eng Chelsea,4,4,390.0,4.3,0.0,0.0,1.0,0.23,0.0,0.0,0.0,0.0,0.0,Brazil
3,Alisson,0,0,,,80.0,93.0,86.0,0.0,0.0,0,0.0,0,0.0,2.0,0.0,101.0,0.0,0.0,,0,1,0,0,0,0,0.0,0.0,0,1.0,0.0,GK,29.0,1.eng Liverpool,4,4,379.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
4,Éder Militão,5,1,0.0,0.0,251.0,277.0,90.6,7.0,3.0,6,1.0,3,10.0,5.0,0.0,306.0,0.0,0.0,,7,3,0,3,3,6,0.0,0.0,0,4.0,5.0,DF,24.0,1.es Real Madrid,4,4,347.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Brazil
5,Richarlison,8,4,0.38,0.75,40.0,58.0,69.0,2.0,0.0,2,4.0,1,3.0,4.0,0.0,97.0,0.0,5.0,0.0,5,6,1,2,1,2,1.0,0.0,0,4.0,8.0,FW,25.0,1.eng Tottenham,4,4,323.0,3.6,3.0,0.84,0.0,0.0,3.0,0.84,0.0,0.0,0.0,Brazil
6,Raphinha,8,6,0.0,0.0,111.0,150.0,74.0,8.0,6.0,6,3.0,3,11.0,0.0,0.0,189.0,4.0,15.0,26.7,2,5,0,22,3,6,0.0,0.0,0,0.0,6.0,FW,25.0,1.es Barcelona,5,4,315.0,3.5,0.0,0.0,1.0,0.29,0.0,0.0,0.0,0.0,0.0,Brazil
7,Lucas Paquetá,4,4,0.25,0.25,169.0,202.0,83.7,7.0,2.0,5,5.0,2,9.0,4.0,0.0,229.0,0.0,2.0,0.0,4,2,0,4,2,5,0.0,0.0,0,3.0,2.0,MF,24.0,1.eng West Ham,4,4,314.0,3.5,1.0,0.29,1.0,0.29,1.0,0.29,0.0,0.0,0.0,Brazil
8,Vinicius Júnior,9,4,0.11,0.25,68.0,90.0,75.6,3.0,0.0,1,5.0,0,3.0,0.0,0.0,132.0,5.0,15.0,33.3,0,7,3,12,0,1,0.0,0.0,0,0.0,0.0,FW,21.0,1.es Real Madrid,4,4,299.0,3.3,1.0,0.3,2.0,0.6,1.0,0.3,0.0,0.0,0.0,Brazil
9,Danilo,2,0,0.0,,230.0,269.0,85.5,5.0,2.0,2,2.0,3,8.0,5.0,1.0,289.0,1.0,1.0,100.0,3,1,0,8,3,2,0.0,0.0,0,4.0,1.0,DF,30.0,1.it Juventus,3,3,281.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Brazil
10,Neymar,11,6,0.09,0.17,121.0,153.0,79.1,1.0,0.0,0,2.0,1,2.0,0.0,0.0,203.0,6.0,23.0,26.1,4,16,2,8,1,0,0.0,0.0,0,0.0,3.0,MF,30.0,1.fr Paris S-G,3,3,279.0,3.1,2.0,0.65,0.0,0.0,1.0,0.32,1.0,0.0,0.0,Brazil
